Brand,Name,Picture,Year,Categorys,Note,,
Acqua di Parma,Acqua di Parma Colonia,o.1681.jpg,1916,"[""citrus"", ""aromatic"", ""fresh spicy"", ""fresh"", ""woody""]","[""Rosemary"", ""Amber"", ""Lavender"", ""Sicilian Citruses"", ""Jasmine"", ""White Musk"", ""Bulgarian Rose"", ""Lemon Verbena"", ""Vetiver"", ""Sandalwood"", ""Patchouli""]","[""14"", ""32"", ""106"", ""32"", ""10""]","[""50"", ""134"", ""23"", ""19""]"
Acqua di Parma,Acqua di Parma Colonia Assoluta,o.1682.jpg,2003,"[""citrus"", ""woody"", ""aromatic"", ""earthy"", ""yellow floral"", ""fresh spicy""]","{""middle"": [""Jasmine"", ""Vetiver"", ""Ylang-Ylang"", ""Cedar"", ""Cardamom"", ""Pink Pepper"", ""Paprika""], ""base"": [""Patchouli"", ""Oakmoss"", ""White Musk"", ""resins""], ""top"": [""Bergamot"", ""Bitter Orange"", ""Sweet Orange"", ""Lemon Verbena""]}","[""5"", ""14"", ""60"", ""18"", ""10""]","[""24"", ""81"", ""18"", ""23""]"
Acqua di Parma,Acqua di Parma Colonia Assoluta Edizione Riviera,o.1680.jpg,2007,"[""citrus"", ""aromatic"", ""woody"", ""fresh spicy"", ""rose""]","{""middle"": [""Lavender"", ""Lemon Verbena"", ""Bulgarian Rose""], ""base"": [""Rosemary"", ""Sandalwood"", ""Ylang-Ylang"", ""Cedar""], ""top"": [""Orange"", ""Bergamot"", ""Sicilian Lemon""]}","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""1"", ""0"", ""1""]"
Acqua di Parma,Acqua di Parma Colonia Assoluta Edizione Speciale 2011,o.12532.jpg,,"[""aromatic"", ""fresh spicy"", ""white floral"", ""floral"", ""citrus""]","[""Lavender"", ""Musk"", ""Jasmine"", ""Rosemary"", ""Amber"", ""Amalfi Lemon"", ""Rose""]","[""2"", ""0"", ""1"", ""0"", ""0""]","[""2"", ""0"", ""2"", ""1""]"
Acqua di Parma,Acqua di Parma Colonia Designer Edition,o.13806.jpg,2011,"[""aromatic"", ""fresh spicy"", ""citrus"", ""white floral"", ""rose"", ""musky""]","{""middle"": [""Jasmine"", ""Rose""], ""base"": [""Musk"", ""Amber""], ""top"": [""Citruses"", ""Lavender"", ""Rosemary""]}","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""2"", ""3""]"
Acqua di Parma,Acqua di Parma Colonia Edizione Centenario,o.42460.jpg,2016,"[""citrus"", ""aromatic"", ""fresh"", ""white floral"", ""fresh spicy"", ""woody""]","{""middle"": [""Jasmine"", ""Lavender"", ""Rose""], ""base"": [""Amber"", ""Musk"", ""Patchouli"", ""Sandalwood"", ""Vetiver""], ""top"": [""Lemon"", ""Rosemary"", ""Citruses"", ""Lemon Verbena""]}","[""1"", ""0"", ""0"", ""1"", ""0""]","[""1"", ""1"", ""0"", ""0""]"
Acqua di Parma,Acqua di Parma Gelsomino Nobile,o.12921.jpg,2011,"[""white floral"", ""tuberose"", ""citrus"", ""animalic"", ""musky""]","{""middle"": [""Jasmine"", ""Tuberose"", ""Orange Blossom""], ""base"": [""Musk"", ""Cedar""], ""top"": [""Mandarin Orange"", ""Pink Pepper""]}","[""2"", ""6"", ""19"", ""6"", ""5""]","[""4"", ""22"", ""9"", ""8""]"
Acqua di Parma,Acqua di Parma Iris Nobile,o.1564.jpg,,"[""powdery"", ""floral"", ""white floral"", ""citrus"", ""woody""]","{""middle"": [""Mimosa"", ""Tuberose"", ""Orange Blossom"", ""Hibiscus"", ""Ylang-Ylang"", ""Cedar""], ""base"": [""Amber"", ""Vanilla""], ""top"": [""Bergamot"", ""Orange"", ""Mandarin Orange"", ""iris"", ""Star Anise""]}","[""4"", ""6"", ""52"", ""29"", ""25""]","[""22"", ""68"", ""21"", ""24""]"
Acqua di Parma,Acqua di Parma Iris Nobile Edizione Speciale 2008,o.5068.jpg,2008,"[""powdery"", ""woody"", ""floral"", ""citrus"", ""earthy""]","{""middle"": [""Ylang-Ylang"", ""iris""], ""base"": [""Vanilla"", ""Patchouli"", ""Oakmoss""], ""top"": [""Star Anise"", ""Mandarin Orange"", ""Bergamot""]}","[""1"", ""0"", ""1"", ""3"", ""5""]","[""1"", ""4"", ""1"", ""5""]"
Acqua di Parma,Acqua di Parma Magnolia Nobile,o.6483.jpg,2009,"[""citrus"", ""floral"", ""white floral"", ""woody"", ""aromatic""]","{""middle"": [""Magnolia"", ""Rose"", ""Jasmine"", ""Tuberose""], ""base"": [""Sandalwood"", ""Patchouli"", ""Vetiver"", ""Vanilla""], ""top"": [""Bergamot"", ""Lemon"", ""Citron""]}","[""0"", ""4"", ""22"", ""37"", ""10""]","[""14"", ""45"", ""16"", ""20""]"
